Spanish,English
querida rosa,dear Rosa
habrá una demora de 5 minutos,there will be a 5 min delay
la comida estuvo deliciosa,the meal was delicious
te estás engañando a ti mismo,you're deluding yourself
"no lo niego, soy muy orgulloso de ser latino","I don't deny it, I'm proud of being ..."
depende,that depends
depende del tiempo,it depends on the weather
privar a alguien de algo,deprive someone of something
Marque el numero...para...,Dial the number ....for...
no cambia nada,it doesn't make any difference
con dificultades,with difficulty
un número de 4 dígitos,a four digit number
Haces descuento a...,Is there any discount on...
me da asco,I find it disgusting
no molestar,do not disturb
no sé qué hacer,I don't know what to do
¡Ya vale!,That will do!
¡bien hecho!,Well done!
con dos camas,with double bed
voy al centro,I'm going downtown
hace mucha corriente aquí,it's drafty here
dibuja muy bien,she is a good drawer
anoche soñé contigo,I dreamt about you last night
no bebo,I don't drink
Me vuelves loco,You’re driving me crazy
Él me está volviendo loco.,he is driving me mad
diez minutos en carro,10 minutes driving
nos queremos,we love each other
¡Tranquilízate!,take it easy
no consumo alimentos que contienen jamón,I can't eat food that have pork
a partir del 1 de mayo,effective May 1
hablas con cierta elegancia,you speak in an elegant way
"¿algo más? no eso es todo, gracias",Anything else?
me daba vergüenza preguntar,I was embarrassed to ask
dar ánimo a alguien,to encourage someone
¿a que hora termina?,When does it end?
a finales de julio,at the end of July
¿te gusta?,Do you enjoy it?
¡Comer con gusto!,Enjoy the meal!
adiós y que disfruten su tiempo,goodbye and enjoy your time
espero que disfruten la comida,hope you enjoy the meal
no tengo suficiente dinero,I don't have enough money
Esto es. Basta ya,Enough talk! That's enough!
¡estoy harto!,I've had enough!
envidiar a alguien por algo,envy someone something
tú lo que tienes envidia de los cubanos,you envy Cubans
no consigo recordar la palabra,the word escapes me
aunque me suplicara,even if he begged me
por la tarde,in the evening
¿Has estado alguna vez en Nueva York?,Have you ever been to NY?
hacer un examen,take an exam
a excepción de,with the exception of
¡disculpe! ¡Oiga! ¡perdone! (for attention),excuse me (to pass by)
"hacer ejercicio, ejercitar",take exercise
a cargo de la empresa,at the company's expense
"puedes explicarlo, por favor",could you explain that please
hasta cierto punto,to a certain extent
esta pendiente de,keep an eye on
Frente a frente. Cara a cara,Face to face
le saluda atentamente,yours faithfully
ser fiel a la pareja,be faithful to one's partner
me caí del muro,I fell of the wall
me he caído,I have fallen
ser acusado falsamente de algo,be falsely accused of something
eso me resulta familiar,that looks familiar
ser famoso por,be famous for
¿está lejos?,Is it far?
¿a qué distancia está...?,How far is...?
que yo sepa,as far as I know
te has pasado,you've gone too far (in behavior)
por ahora muy bien,so far so good
restaurante de comidas rápidas,fast food restaurant
es culpa tuya,it's your fault
No tuve la culpa. no tengo la culpa (pres),it wasn't my fault
¡haga me un favor!,do me a favor
estoy harto de mi trabajo,I'm fed up with my job
no me siento bien,I don't feel well
no me da la gana,I don't feel like it
estoy mareado/cansado,I feel sick/tired
¿Cómo te encuentras hoy?,How’re you feeling today?
no me apetece,I don't feel like it
"lleno , por favor, llena esta hoja",fill it up please
dónde puedo encontrar un buen restaurante,Where can I find a good restaurant?
"esta bien, la tomo","that's fine, I will take it (room)"
pelearse,have a fight (argue)
¿Qué te pareció el hotel?,How did you find the hotel?
¡Fuego!,Fire!
te queda perfectamente,it fits you perfectly
conocer/ver a alguien en persona,meet/see s.o in the flesh
habla español con soltura,he speaks Spanish fluently
"lo siento mucho, pero no estoy libre","sorry, I'm not free"
hay niebla,It’s foggy!
siga esta calle/carretera,follow this road
sígueme,follow me
soy un gran aficionado al ajedrez,I'm fond of....
le tengo mucho cariño,I'm very fond of him
llevo todo el día de pie,I've been on my feet all day
a pie/en carro,on foot/by car
esto es para ti,this is for you
¿para qué sirve esto?,What is this for?
por favor tenlo listo (para) el lunes,please get it done for Monday
déjame que te lo haga,let me do it for you
lo compré por 25 dólares,I bought it for $15
¿por cuanto lo vendiste?,How much did you sell it for?
voy a estar aquí 6 meses,I'm here for 6 months
me alegro por ti,happy for you
Trabajé durante tres años para....,I worked for 3 years in.....
se me olvidó su nombre,I forgot his name
olvidarse de hacer algo,to forget to do something
estar en forma,to be on form/shape
diez grados bajo cero,it's 15 degrees below freezing
¡No te asustes! ¡No tengas miedo!,don't be frightened
a partir de hoy,from today on
desde aquí hasta allí,from here to there
trabajo de nueve a cinco,I work from...to...
¿de dónde eres tu?,Where are you from?
¿alguna persona de Maryland?,Anyone from Maryland?
estoy helado,I'm frozen
¡Que se joda! vete a la mierda!,Fuck off!
lo siento pero estamos completos,"sorry, we're full"
Adiós ¡que los paséis bien!,Bye. Have fun!
burlarse de,make fun of
nos estamos divirtiendo mucho,we're having a lot of fun
eso no tiene gracia,that's not funny
engordar 20 libras,gain 20 pounds
ella me llevó a mi casa,she gave me a lift to my house
me estoy haciendo mayor,I'm getting old
"¿perdóname, puedo pasar?","Excuse me, can I get by?"
el me cae muy bien,I get along very well with him
montarse en el autobús/mi bici,get on the bus/my bike
¿Cómo te van las cosas en el colegio?,How are you getting along at school?
dale recuerdos de mi parte,give her my love
hacer un regalo a alguien,give a present to someone
me alegro de verte,I'm glad to see you
¿adónde quieres ir?,Where would you like to go?
es para llevar,it's to go (food)
"me tengo que ir, adiós","I have to go, goodbye"
como te encuentras?,How is it going?
¿adónde vas?,Where are you going?
haberse acabado,be all gone (finished)
"¿puedo? por supuesto , adelante","Can I? Sure, go ahead!"
"bueno, mi amiguito me retiro","ok little friend, I've got to go"
gracias a Dios,thank God (goodness)
¿Buenos días! buenas tardes!..noches!,"good morning, evening, night"
¿Buenas noches y dulces sueños!,good night and sweet dreams
se le da muy bien el ajedrez,he is good at chess
"Oh, qué bien!",Oh! That's good!
en dos semanas me graduó,I'll graduate in two weeks
le estoy agradecido,I'm grateful to him
¿cómo fue? Estupendo. genial,How was it? Great!
¡lo iría grande!,That would be great!
me imagino que sí,I guess so
"¡Eh, gente!","Hey, you guys!"
tener el pelo corto/largo,have short/long hair
media botella,half bottle
media libra,half a pound
a mitad precio,at half price
a mitad de camino,half way
por una parte....por otra parte,on one hand...on the other hand
¡arriba las manos!,Hands up!
a mano derecha,on your right hand
deja me que me ocupe yo de esto,let me handle this
¿tienen…?,Do you have (in restaurant)?
¿qué ha pasado?,What happened?
¿Qué pasó con mi pregunta?,What happened to my question?
¿qué te ha pasado?,What has happened to you?
en este lugar hay fantasmas,this place is haunted
¿me da un café?,Can I have a coffee?
me corté el pelo,I had my hair cut
¿Tienes,Do you have anything on tonight?
algo planeado para esta noche?,something planned for tonight
"tú tienes gracia, él no","you're funny, he is not"
¿Te has enterado de lo de mike?,Have you heard of Mike?
saber algo de memoria,know something by heart
enciende la calefacción,turn on the heater
hay mucho tráfico,there is heavy traffic
qué demonios estas haciendo/quieres,what the hell you doing/want
¡vete a paseo! mejor vete al diablo!,Go to hell!
saludar a alguien,say hello to someone
no puedo evitarlo,I can't help it
¡sírvete!,Help yourself!
¿puede ayudarme?,Can you help me?
gracias por tu ayuda,thank you for your help
¿podría ayudarse?,Can I help you? (shop)
la conozco,I know her
eso es para ella,this is for her
"aquí está la llave,",here is the key to your room
¡aquí tienes!,here you're
¡aquí tiene!,Here you go!
"sola (alone), ella sola (without any help)",by herself
Hola a todos! Saludos a todos,Hi all!
la tensión alta,high blood pressure
estar muy bien pagado,highly paid
hacer autostop,hitch a ride
"no cuelgue, por favor",hold on please
¡buenas vacaciones!,Have a good holiday!
tomarse vacaciones,take a holiday
¿hay alguien en casa?,Anybody home?
Nueva york es mi hogar,New York is my home
ponte cómodo,make yourself at home
¿todo bien en casa?,Everything ok at home?
espero que te guste,I hope you like it
espero que si,I hope so
tomar a alguien como rehén,take someone hostage
tengo calor,I'm hot
hace calor,it's hot
¿Cómo es eso? ¿Por qué?,How come?
¿cómo estás?,How are you?
¿Cómo dices una taza en Ingles?,How do you say a cup en Spanish?
¿cómo se va a...?,How do I get to..?
¿qué precio tiene por noche?,How much is it per night?
te doy un abrazo,I give you a hug
sentido del humor,sense of humor
tengo hambre,I'm hungry
tengo prisa,I'm in a hurry
"date prisa, vas a llegar tarde otra vez",Hurry up! you make yourself late again
me/le duele la espalda,my/his back hurts
me he hecho daño en la mano,I've hurt my hand
me duelen los pies,my feet hurt
"tú estás loco, yo no",you're crazy I'm not
no tengo ni idea,I have no idea
¡buena idea!,Good idea!
ojalá,if only
caer enfermo,fall ill
¿Insinúas que mentí?,are you implying I lied
en voz alta,in a loud voice
ser incapaz de hacer,be incapable of doing something
algo(adverb),"something, somewhat, anything, rather"
gastos varios,incidental expenses
incitar a alguien a que haga,incite someone to do something
algo(pronoun),"something, some, anything"
es importante,it's important
"¡habla 5 idiomas, es impresionante!","She speaks 5 languages, impressive!"
dentro de 10 minutos,In 10 minutes
no estás dando mucha información,you're not being very informative
se lesionó la pierna,he injured his leg
investigar,inquire into something
algo(noun),"aught, trifle"
por favor insisto en que te lo quedes,"please keep it, I insist"
por ejemplo,for instance
tomaré leche en vez de café,I'll have milk instead of coffee
"tengo seguro, estoy afiliado al seguro",I have insurance
tener la intención de hacer,intend to do something
no me interesa la política en absoluto,I'm not interested in politics at all
estar interesado en,be interested in something
no veo nada interesante,I don't see anything interesting
en Internet,on the internet
soy marroquí,I'm Moroccan
¿Es con desayuno?,Is breakfast included?
"(That’s right) ¡eso es!, (finished) ¡ya está!",That it!
está en la cárcel,he is in jail
tener celos de,be jealous of
no tiene ninguna gracia,it' s no joke
estoy bromeando,I'm joking!
¡buen viaje!,have a safe journey
júzgalo por ti mismo,judge for yourself
el juicio final (rel),the last judgment
acabar de hacer,have just done something
solamente dos,Just two
estaba a punto de salir cuando,I was just about to leave when
acabo de llegar,I've just arrived
te lo puedes quedar,you can keep it
cumplir una promesa,keep a promise
quédate con la vuelta,keep the change
Siga todo recto hasta llegar a...,Keep straight on until you get to...
cuando era pequeño,when I was a kid
estaba bromeando,I was only kidding
estás de broma,you're kidding
gracias por tu amabilidad,that's very kind of you
cama de matrimonio,king size bed
llamaron a la puerta,there was a knock on the door
no lo sé,I don't know
le conozco desde hace mucho tiempo,I have known him for a long time
tengo una buena base de Español,I have a good knowledge of Spanish
le falta confianza,he lacks confidence
¿Alguna dama de Nueva york?,Any lady from New York?
¿cuánto tiempo dure?,How long does it last?
la semana pasada,last week
siento llegar tarde,sorry I'm late
el tren viene con retraso,the train is late
hasta luego,see you later
venga un poco más tarde,Come back later ok.
¿Sabes la última?,Do you know the latest?
¿a qué hora sale?,When does it leave?
¿de dónde sale?,Where does it leave from?
a qué hora debemos desocupar el cuarto?,When do we have to leave the room?
¿Podemos dejar nuestro equipaje aquí?,Can we leave out luggage here?
me voy mañana,I'm leaving tomorrow
¡déjame me en paz!,Leave me alone!
no queda nada,there is nothing left
menos de 200 dólares,less than 200$
"házmelo saber,","let me know ok,"
¡así es la vida!,That’s life!
como tú,like you
me encanta,I really like it
como dije,like I said
así,like this
no me gusta que salgas con ellos,I don't like you going out with them
hacer la cola,stand in line
se le dan bien los idiomas,she's is a good linguist
¡escuche a me! ¡Escuche!,Listen to me!
un poco de leche,a little milk
una retransmisión en directo,a live broadcast
¿dónde vives?,Where do you live?
¿a qué te dedicas?,What do you do for a living?
¿eres de aquí?,Are you local?
¿dónde queda....?,Where is it located?
me dejé las llaves dentro,I locked myself out
por mucho tiempo,for a long time
no tardes mucho,don't be long
estoy buscando a Juan,I'm looking for John
parece que va a llover,it looks it's going to rain
a la espera de sus noticias,I look forward to hearing from u
"sólo curioso, gracias",I'm just looking
me he perdido,I'm lost
nos hemos perdido,we're lost
¡vete a paseo!,Get lost!
he perdido la cartera,I've lost my wallet
la oficina de objetos perdidos,lost and found
muchos libros/mucha mantiquilla,a lot of books/butter
un fuerte abrazo (or) besos,love (letter endings)
estar enamorado de,be in love with
me encanta nadar/la naturaleza,I love swimming/nature
¡que tenga suerte!,Good luck!
mala suerte,bad luck
tengo suerte,I'm lucky
volver loco a alguien,drive someone mad
tomar una decisión,make a decision
me da hambre,it makes me hungry
me da pena/lástima,it makes me sad/upset
¡estás en su casa!,Make yourself home!
¿de qué material es la mesa? es de madera,What is it made of?
hice 3 llamadas telefónicas,I've made 3 phone calls
soy hombre y tengo 25 años,I'm male and have 25 years old
ser un maleducado,have no manners
estar casado con,be married to
casarse,get married
no importa,it doesn't matter
¿que pasa?,What’s the matter?
puede que lleva,it may rain
"¿este plato, qué lleva?",What’s in this (meal)?
me conoce,he knows me
¿La comida es genial!,The meal is great!
¿Qué quiere decir esto? ¿Qué significa esto?,What does this mean?
¿Sabes lo que quiero decir?,You know what I mean?
¿A quién te refieres? ¿A mí?,You mean me?
mientras tanto,in the mean time
más alto que yo,taller than me
¿Qué puedes hacer por me?,What can you do for me?
está reunido,he is in a meeting
¡Tanto gusto! ¡Medio gusto conocerte!,Nice to meet you!
tener buena/mala memoria,have a good memory
no hay de que,don't mention it (you're welcome)
¡Mesero! ¡La carta por favor!,Waiter! The menu please!
¡qué lío!,What a mess!
estar desordenado,be a mess
¿quiere dejar algún recado?,Would you like to leave a message?
¿Hay algún recado/carta para mí?,Is there any message for me?
¿se conocen?,Have you two met?
"en medio de (room,floor)",in the middle of
en plena noche/invierno,in the middle of the night/winter
"a medianoche, al mediodía",at midnight/midday
¿te importa?,Do you mind?
cambiar de opinión,change one's mind
tener algo en la cabeza,have something in mind
no me molesta,I don't mind
te importaría dejarlo para mañana,would you mind leaving it till tomorrow
es el mío,it's mine
en un momento,in a minute
¡un momento!,Just a minute!
se ha perdido mi hijo,my son is missing
te saco,I missed you (lost contact)
"cometer un error, equivocarse",make a mistake
por error,by mistake
ha habido una equivocación,there's been a misunderstanding
tener problemas emocionales,To be mixed up (emotionally)
estar confundido,To be mixed up (confused)
un momento,just a moment
un momento por favor,one moment please
¿cuántos pagas al mes?,how much do you pay a month
estar de buen/mal humor,be in a good/bad mood
más de 5,more than 5
mas o menos,more or less
gana más que yo,he earns more than I do
más que yo,more than me
"cuanto más estudio, más aprendo","the more I study, the more I learn"
ya no vivo allí,I don't live there any more
por la mañana,in the morning
ella es la mujer más laboriosa de la tierra,She is the most hardworking...
he leído la mayoría de sus novelas,I've read most of her novels
como mucho,at the most
mudarse de casa,move house
ir al cine,go to a movie
no se mueve,It’s not moving!
voy a mudarme de casa,I'm moving to a new house
tanto ......como,as much as
debo llegar a la hora,I must be on time
¿Cómo te llamas? ¿Cual es tu nombre?,What’s your name?
Me llamo.......,My name is.....
"¿A nombre de quién, por favor?",Under what name?
dar/echar una cabezada,to have a nap
en un futuro próximo,in the near future
"es necesario, hay que",it's necessary to
No hace falta que...,It’s not necessary to...
"¿Vives en España, no? or ¿verdad?","You live in Spain, don't you?"
¿qué deseas?,Did you need anything? (store)
"si necesita algo, dígamelo",If you need anything just let me know?
no hace falta ser grosero/que te enfades,there is no need to be rude/upset
tengo que hablar contigo,I need to talk to you
me falta dinero,I need money
pues somos vecinos,it means we're neighbors
sacar de quicio a alguien,get on someone's nerves
¿qué hay de nuevo?,What’s new?
nunca bebo vino,I never drunk wine
¿quién es el siguiente?,Who’s next?
¿trata bien a tu hermana!,be nice to your sister
es muy amable de tu parte,that's nice of you
puerto rico es una isla muy linda,P.r is a very nice island
"pero no viviría ahí, sólo para visitar","but I wouldn't live there, only to visit"
trabajar de noche,To work nights
no digas disparates/tonterías,don't talk nonsense
estas hablando basura,you're talking nonsense
al norte de,to the north
ahora no,not now
no está listo,it's not ready
Me he fijado que...,I noticed that...
de ahora en adelante,from now on
hace un momento,just now (a little while ago)
en este momento,just now
estar obsesionado con/por,be obsessed by/with
tomarse un día de fiesta/un día libre,take a day off
estar desconectado,off line
es buena persona,he is ok (good guy)
¿Cuántos años tienes?,How old are you?
está  haciéndose mayor,he is getting old
Tengo... Años,I'm ... years old
tiene más años que yo,she is older than me
mi hermano mayor,my oldest brother
etcétera,and so on
al mismo tiempo,all at once
una vez que hayas acabado,Once you have finished...
¿cuál?,Which one?
no sólo ... sino también,not only... but also
¿a qué hora abre el museo?,At what time does... Open?
al aire libre,in the open air
ser operado,have an operation
en mi opinión,in my opinion
para,in order to
al contrario,quite the opposite
¿deseas ordenar?,You ready to order?
originalmente de connecticut,originally from Connecticut
el otro día,the other day
¿tienes otros?,Have you any others?
cada dos días,every other day
los otros,the others
ha Salido,he is out
quedarse a pasar la noche,stay overnight
una habitación que dé al lago,room overlooking the lake
hacer horas extras,work overtime
estar demasiado gordo,be overweight
deber a alguien 100 dólares,owe s.o 100$
¿cuánto te debo?,How much do I owe you?
te debo,I owe you
mi propio casa,my own house
una lata/ un tostón,a pain in the neck
que no cunda el pánico!,Don’t panic!
un trozo de papel,a piece of paper
¿cómo?,Pardon!
¿dónde puedo aparcar el carro?,Where can I park?
aprobar un examen,pass an exam
los últimos días,the past few days
¿ten paciencia!,Just be patient!
¿cómo deseas pagar?,How would you like to pay?
prestar atención,pay attention
estar pendiente,be pending
¡no me da la gana y punto!,"I don't want to, period!"
quizá podemos ir la semana próxima,perhaps we could go next week
pedir permiso a alguien para,ask someone permission to
permitir a alguien que haga algo,permit someone to do something
en persona,in  person
no te lo tomes como algo personal,don't take it personally
estar hablando por teléfono,be on the phone
Quiero hacer una llamada telefónica,I want to make a phone call
meterse el dedo en la nariz,pick one's noise
¡qué pena!,What a pity!
Es una pena que...,It’s a pity that...
hacer un pedido,place an order
encantado de conocerte,pleased to meet you
las 6.00 de la tarde,at 6.00 pm
las 11.00 de la noche,at 11.00 pm
ir al grano,get to the point
no vale la pena esperar,There’s no point in waiting...
meter las narices en,poke one's nose into
estar seguro,be positive
en el poder,in power
base de práctica se aprende,practice makes perfect
hace mucho tiempo que no tengo la oportunidad,long time I haven't practiced my Spanish
De hablar español,to speak
¿Haces deporte?,Do you practice any sport?
como precaución,as a precaution
prefiero jugar al tenis,I'd prefer to play tennis
está cómo regalo,it's for a present
pretende saberlo todo,he pretends to know everything
hacerse pasar por alguien,to pretend to be someone
impedir que alguien haga algo,prevent s.o from doing something
¡vamos al privado!,Let’s go to a private room! (chat)
¡no fue nada!,no problem
hacer progresos,make progress
¿lo prometes?,Do you promise?
¿cómo se pronuncia?,How is it pronounced?
no está bien,it's not proper
estar orgulloso de,be proud of
¿Estás orgulloso de ti mismo?,Are you proud of yourself?
no soy vidente,I'm not psychic
en público,in public
a propósito,on purpose
¡qué rápido!,That was quick!
hablar en voz baja,speak quietly
es bastante bueno,it's quite good
bastante caro,it's quite Expensive
te echo una carrera,I will race you
está lloviendo,it's raining
prepararse,get ready
me di cuenta de que,I realized that
no me di cuenta de algo,I didn't realize something
¡verdad!,Really!
lo siento en el alma,I'm really sorry
¿me podría dar un recibo?,Can you give me a receipt?
puede recomendarnos algún buen (restau),Can you recommend a good restaurant?
devolver el dinero a alguien,give s.o a refund
negarse a hacer algo,refuse to do something
un abrazo,best regards
dale saludos/recuerdos a Juan de mi parte,give my regards to Juan
sin tener en cuenta,regardless of
¡tranquilízate! No te enfades,Relax! Don't get angry
¿qué religión tienes?,What’s your religion?
ser reacio a hacer algo,be reluctant to do something
contar con alguien para hacer algo,rely on s.o to do something
¿recuerdas a Juan?,Do you remember John?
no recuerdo/no me acuerdo,I don't remember
me recuerdas a Jaime,you remind me of James
sentir como nuevo,feel renewed
se alquila,for rent
"puedes repetirlo, por favor",can you repeat that please
tener una buena/mala reputación,have a good/bad reputation
necesita descansar,he needs a rest
el resto,the rest
está jubilado/casado/soltero,he is retired/married/single
vengarse,take one's revenge
deshacerse de,get rid of
me gusta montar a caballo,I like riding
quieres que te lleve al centro,do you want a ride to town
estoy correcto,I'm right
estoy en Bogota en este momento,I'm in Bogotá right now
gira a la derecha,turn to the right
me han robado,I've been robbed
no hay sitio para,There’s no room for...
5 días seguidos,5 days in a row
no pretendía faltar al respeto,I didn't mean to be rude
se rumorea que,It is rumored that....
se ha acabado el tiempo,time has run out
hacer algo con prisas,do something in a rush
tengo el Español muy abandonado,my Spanish is pretty rusty
se vende,for sale (sign)
estar de rebajas,be on sale
"lo mismo, igual",the same
yo también,same here
¡Estarás contento!,I hope you're satisfied!
tengo que trabajar y ahorrar para comprármela,I have to work and save to buy it
tener miedo de,be scared of
ir según lo previsto,be on schedule (work as planned)
¿cómo van?,What’s the score? (match)
empezar desde cero,start from scratch
¡Chinga tu madre!,Screw you!
junto al mar,by the sea
ya veo,I see
deberías ir a que te viera un médico,you should see a doctor
¡hasta la vista! ¡chao!,See you!
parece que (nadie quiere platicar),it seems that (none wants to chat)
me parece,it seems to me
lo digo en serio,I'm serious
¿en serio?,Seriously?
¿está incluido el servicio?,Is service included?
acostarse con,have sex with
a la sombra,in the shade
¡qué lástima!,That’s a shame!
debería darte vergüenza,Shame on you!
tengo que cagar,I need a shit
hacer la compra,do one's shopping
en resumen,in short
¿qué debería hacer?,What should I do?
ducharse,take a shower
¡cállate la boca! ¡cállate!,Shut up!
estoy de parte tuya,I'm on your side
ser parecido a,be similar to
desde la semana pasada,since last week
¿desde cuándo?,Since when?
saludos cordiales,yours sincerely
